,suburb
1196,Cumnock
1197,Cundle Flat
1198,Cundletown
1199,Cundumbul
1200,Cunjurong Point
1201,Cunningar
1202,Cunninyeuk
1203,Curban
1204,Curl Curl
1205,Curlew Waters
1206,Curlewis
1207,Curlwaa
1208,Curra Creek
1209,Currabubula
1210,Curragh
1211,Curramore
1212,Currans Hill
1213,Currarong
1214,Currawang
1215,Currawarna
1216,Curraweela
1217,Currawong Beach
1218,Curricabark
1219,Currowan
1220,Cuttabri
1221,Cuttagee
1222,Dabee
1223,Daceyville
1224,Dairy Arm
1225,Dairy Flat
1226,Dairymans Plains
1227,Daleys Point
1228,Dalgety
1229,Dalmeny
1230,Dalmorton
1231,Dalswinton
1232,Dalton
1233,Dalwood
1234,Dalwood
1235,Dandaloo
1236,Dandry
1237,Dangar Island
1238,Dangarsleigh
1239,Dangelong
1240,Dapto
1241,Darawank
1242,Darbalara
1243,Darbys Falls
1244,Dareton
1245,Dargan
1246,Dark Corner
1247,Darkes Forest
1248,Darkwood
1249,Darling Point
1250,Darlinghurst
1251,Darlington
1252,Darlington
1253,Darlington Point
1254,Darlow
1255,Daroobalgie
1256,Dartbrook
1257,Daruka
1258,Davidson
1259,Davis Creek
1260,Davistown
1261,Dawes Point
1262,Daysdale
1263,Dean Park
1264,Deauville
1265,Debenham
1266,Dee Why
1267,Deep Creek
1268,Deep Creek
1269,Deep Creek
1270,Deepwater
1271,Deer Vale
1272,Delegate
1273,Delungra
1274,Denham Court
1275,Denhams Beach
1276,Deniliquin
1277,Denistone
1278,Denistone East
1279,Denistone West
1280,Denman
1281,Depot Beach
1282,Derriwong
1283,Deua
1284,Deua River Valley
1285,Devils Hole
1286,Dewitt
1287,Dharruk
1288,Dhulura
1289,Dhuragoon
1290,Diamond Beach
1291,Diamond Head
1292,Diehard
1293,Diggers Camp
1294,Dignams Creek
1295,Dilkoon
1296,Dilpurra
1297,Dingo Forest
1298,Dinoga
1299,Dirnaseer
1300,Dirty Creek
1301,Dobies Bight
1302,Doctor George Mountain
1303,Doctors Gap
1304,Dog Rocks
1305,Dolans Bay
1306,Dolls Point
1307,Dollys Flat
1308,Dolphin Point
1309,Dombarton
1310,Donald Creek
1311,Dondingalong
1312,Donnellyville
1313,Doon Doon
1314,Doonbah
1315,Doonside
1316,Dooralong
1317,Dora Creek
1318,Dorrigo
1319,Dorrigo Mountain
1320,Dorroughby
1321,Double Bay
1322,Doubtful Creek
1323,Douglas Park
1324,Dover Heights
1325,Downside
1326,Doyalson
1327,Doyalson North
1328,Doyles Creek
1329,Doyles River
1330,Drake
1331,Drake Village
1332,Drildool
1333,Dripstone
1334,Drummoyne
1335,Dry Creek
1336,Dry Plain
1337,Dubbo
1338,Duck Creek
1339,Duckenfield
1340,Duckmaloi
1341,Dudley
1342,Duffys Forest
1343,Dulguigan
1344,Dulwich Hill
1345,Dum Dum
1346,Dumaresq
1347,Dumaresq Island
1348,Dumaresq Valley
1349,Dumbudgery
1350,Dunbible
1351,Dunbogan
1352,Duncans Creek
1353,Dundas
1354,Dundas Valley
1355,Dundee
1356,Dundurrabin
1357,Dunedoo
1358,Dungarubba
1359,Dungay
1360,Dungeree
1361,Dungog
1362,Dungowan
1363,Dunkeld
1364,Dunmore
1365,Dunolly
1366,Dunoon
1367,Duns Creek
1368,Dunville Loop
1369,Dural
1370,Dural
1371,Duramana
1372,Duranbah
1373,Duri
1374,Duroby
1375,Durran Durra
1376,Durras North
1377,Durren Durren
1378,Duval
1379,Dyers Crossing
1380,Dyraaba
1381,Dyrring
1382,Eagle Vale
1383,Eagleton
1384,Earlwood
1385,East Albury
1386,East Ballina
1387,East Branxton
1388,East Coraki
1389,East Corrimal
1390,East Gosford
1391,East Gresford
1392,East Hills
1393,East Jindabyne
1394,East Kangaloon
1395,East Kempsey
1396,East Killara
1397,East Kurrajong
1398,East Lindfield
1399,East Lismore
1400,East Lynne
1401,East Maitland
1402,East Ryde
1403,East Seaham
1404,East Tamworth
1405,East Wagga Wagga
1406,East Wardell
1407,Eastern Creek
1408,Eastgardens
1409,Eastlakes
1410,Eastwood
1411,Eatonsville
1412,Ebenezer
1413,Ebor
1414,Eccleston
1415,Edderton
1416,Eden
1417,Eden Creek
1418,Edensor Park
1419,Edenville
1420,Edgecliff
1421,Edgeroi
1422,Edgeworth
1423,Edith
1424,Edmondson Park
1425,Edrom
1426,Eenaweena
1427,Eglinton
1428,Eighteen Mile
1429,Elands
1430,Elanora Heights
1431,Elcombe
1432,Elderslie
1433,Elderslie
1434,Eleebana
1435,Elermore Vale
1436,Elizabeth Bay
1437,Elizabeth Beach
1438,Elizabeth Hills
1439,Ellalong
1440,Elland
1441,Ellangowan
1442,Ellenborough
1443,Ellerslie
1444,Ellerslie
1445,Ellerston
1446,Ellis Lane
1447,Elong Elong
1448,Elrington
1449,Elsmore
1450,Eltham
1451,Elvina Bay
1452,Emerald Beach
1453,Emerald Hill
1454,Emerton
1455,Emmaville
1456,Empire Bay
1457,Empire Vale
1458,Emu Heights
1459,Emu Plains
1460,Emu Swamp
1461,Endrick
1462,Enfield
1463,Engadine
1464,Englorie Park
1465,Enmore
1466,Enmore
1467,Enngonia
1468,Environa
1469,Epping
1470,Eraring
1471,Eremerang
1472,Erigolia
1473,Erin Vale
1474,Erina
1475,Erina Heights
1476,Ermington
1477,Erowal Bay
1478,Errowanbang
1479,Erskine Park
1480,Erskineville
1481,Erudgere
1482,Eschol Park
1483,Esk
1484,Essington
1485,Estella
1486,Ettalong Beach
1487,Ettamogah
1488,Ettrema
1489,Ettrick
